0,182,0.591437396
3,180,0.588178763
6,179,0.586542658
9,176,0.581606727
12,174,0.578292701
15,172,0.574959575
18,169,0.569923335
21,166,0.564842194
24,164,0.561429219
27,162,0.557995369
30,159,0.552804601
33,156,0.547564629
36,153,0.542274025
39,150,0.536931294
42,148,0.53333974
45,145,0.527906596
48,142,0.52241695
51,139,0.516869002
54,136,0.511260854
57,133,0.505590503
60,129,0.497929598
63,126,0.492105659
66,122,0.484231461
69,119,0.478240738
72,115,0.470134375
75,112,0.463961665
78,109,0.457705716
81,105,0.449228951
84,102,0.442764888
87,99,0.436205045
90,96,0.429545035
93,94,0.425047057
96,92,0.420500969
99,90,0.415905192
102,88,0.411258061
105,87,0.408914691
108,86,0.406557814
111,86,0.406557814
114,87,0.408914691
117,88,0.411258061
120,90,0.415905192
123,93,0.422780124
126,97,0.431776453
129,102,0.442764888
132,107,0.45348714
135,114,0.46808585
138,122,0.484231461
141,131,0.501774671
144,141,0.520574204
147,151,0.538718092
150,164,0.561429219
153,178,0.584901976
156,191,0.6058844
159,207,0.630751453
162,222,0.653205111
165,238,0.676334537
168,255,0.700072756
171,271,0.721701707
174,289,0.745284362
177,307,0.768143349
180,323,0.787905892
183,340,0.808374389
186,357,0.828337256
189,375,0.848962918
192,392,0.867992796
195,409,0.886614319
198,425,0.903790042
201,438,0.917508597
204,449,0.928958382
207,458,0.938222462
210,466,0.946381071
213,473,0.953462589
216,480,0.960491898
219,485,0.9654815
222,492,0.972423932
225,496,0.976368873
228,500,0.980297938
231,504,0.984211319
234,509,0.989081271
237,512,0.991991766
240,513,0.992960036
243,515,0.994893748
246,517,0.996823708
249,519,0.998749939
252,520,0.999711663
255,520,0.999711663
