0,613,0
3,613,0
6,614,0
9,613,0
12,613,0
15,613,0
18,613,0
21,613,0
24,612,0.059839859
27,611,0.119679718
30,611,0.119679718
33,611,0.119679718
36,611,0.119679718
39,611,0.119679718
42,610,0.179519577
45,610,0.179519577
48,610,0.179519577
51,610,0.179519577
54,610,0.179519577
57,610,0.179519577
60,608,0.299199294
63,608,0.299199294
66,608,0.299199294
69,608,0.299199294
72,608,0.299199294
75,608,0.299199294
78,607,0.359039153
81,607,0.359039153
84,606,0.418879012
87,604,0.53855873
90,604,0.53855873
93,602,0.658238451
96,601,0.71807831
99,602,0.658238451
102,600,0.777918169
105,595,1.077117463
108,590,1.376316758
111,588,1.495996476
114,589,1.436156617
117,588,1.495996476
120,579,2.034555209
123,575,2.273914644
126,572,2.453434221
129,571,2.51327408
132,564,2.932153092
135,558,3.291192249
138,558,3.291192249
141,555,3.470711826
144,553,3.590391543
147,552,3.650231402
150,551,3.710071261
153,549,3.829750979
156,548,3.889590838
159,546,4.009270556
162,545,4.069110414
165,542,4.248629991
168,541,4.30846985
171,540,4.368309709
174,538,4.48798943
177,536,4.607669148
180,536,4.607669148
183,536,4.607669148
186,534,4.727348866
189,534,4.727348866
192,530,4.966708301
195,527,5.146227878
198,527,5.146227878
201,527,5.146227878
204,527,5.146227878
207,525,5.265907596
210,525,5.265907596
213,525,5.265907596
216,525,5.265907596
219,525,5.265907596
222,527,5.146227878
225,525,5.265907596
228,525,5.265907596
231,527,5.146227878
234,525,5.265907596
237,524,5.325747454
240,525,5.265907596
243,525,5.265907596
246,524,5.325747454
249,525,5.265907596
252,525,5.265907596
255,524,5.325747454
